user_name	date	count	v1count	blankcount
4rch	2015-07-08	1	0	0
ALEBI89	2014-09-01	1	1	0
AV4TAr	2013-05-02	4	4	0
Adrianuy	2015-09-20	9	9	0
AgusQui	2014-02-18	28	20	0
AgusQui	2014-02-19	115	52	0
AgusQui	2014-02-23	21	20	0
AgusQui	2014-02-24	54	27	0
AgusQui	2014-02-26	60	48	0
AgusQui	2014-02-27	11	11	0
AgusQui	2014-02-28	37	8	0
AgusQui	2014-03-01	98	65	0
AgusQui	2014-03-03	780	662	0
AgusQui	2014-03-04	175	25	0
AgusQui	2014-03-05	50	28	0
AgustinGonzalez	2013-07-09	3	3	0
Airwolfless	2011-06-30	8	8	0
Alberto Damiano	2011-06-02	24	24	0
Aldo Coll	2012-03-01	2	1	0
AleFK	2013-03-24	1	1	0
Aleb89	2010-08-17	3	2	0
Alejandro Adrien	2011-03-01	5	0	0
Alejandro Revilla	2010-03-08	7	4	0
Alejandro Trambauer	2015-12-10	8	4	0
Alerod	2013-08-08	2	2	0
Alexdla	2014-03-11	2	2	0
AlfredoGMx	2012-02-01	14	10	0
Alpargator	2012-05-10	3	0	0
Alvaro Rivoir	2011-11-19	22	21	0
Alvaro Rivoir	2014-03-03	2	1	0
Amaroussi	2014-08-03	1	0	0
Amasso	2011-10-29	1	0	0
Americo113	2015-04-25	1	1	0
AndiG88	2014-08-04	1	0	0
Andre68	2014-07-03	4	0	0
Andres Alcarraz	2011-12-31	1	0	0
Andres Alcarraz	2012-08-07	2	2	0
Andres Gervaz	2015-06-23	3	0	0
Antonieta	2013-06-14	9	8	0
ArizonaMapper	2015-09-29	4	4	0
Bart Calixto	2013-05-07	3	0	0
Baruch	2009-06-18	1	0	0
Basstoelpel	2013-10-30	1	0	0
Basstoelpel	2013-10-31	8	4	0
Bitcoin Uruguay	2014-05-04	2	2	0
Brian@Brea	2014-01-16	2	0	0
BrunoX	2010-08-25	6	6	0
BrunoX	2011-03-16	1	1	0
BrunoX	2012-10-15	3	1	0
BrunoX	2014-01-14	3	0	0
BrunoX	2014-01-15	20	16	0
BuganiniQ	2014-05-06	1	0	0
BuganiniQ	2014-05-12	2	0	0
Bullroarer	2012-08-05	55	55	0
CAROLINAERRA	2014-04-11	2	2	0
CRCulver	2015-11-08	1	1	0
Cacha21	2011-09-08	54	28	0
Cacha21	2011-09-09	1	1	0
CarlosCal	2012-10-02	2	2	0
CesarsanCL	2012-06-07	1	1	0
Charrua155	2013-06-28	5	4	0
Crashlaw	2015-08-28	1	1	0
Crashlaw	2015-09-04	46	14	0
Crashlaw	2015-09-15	8	4	0
D!zzy	2012-12-08	1	0	0
Daniel Schwed	2015-12-01	1	1	0
Daniel75	2013-06-20	22	22	0
DanielLobo	2010-06-17	1	1	0
DanielLobo	2010-07-08	33	31	0
DanielLobo	2010-07-09	178	169	1
DanielLobo	2010-09-11	13	6	0
DanielLobo	2010-09-12	47	44	1
DanielLobo	2010-09-18	102	23	0
DanielLobo	2010-09-19	144	133	1
DanielLobo	2010-09-20	41	28	0
Datalogic	2013-02-27	12	12	0
Dberruti	2011-10-13	1	1	0
Diego Ocampo	2013-07-10	1	1	0
DonHM	2012-01-21	1	1	0
DrSeuthberg	2012-08-30	1	0	0
Eduardo Octavio Nina Pereda	2015-11-17	1	1	0
Ein	2010-01-17	6	4	0
Ein	2010-01-18	2	1	0
Ein	2010-03-14	19	2	0
Ein	2010-03-18	1	1	0
Ein	2011-08-06	1	1	0
Ein	2011-09-27	1	1	0
Ein	2012-03-22	1	1	0
Ein	2012-03-25	26	25	0
Ein	2012-03-26	28	21	0
Ein	2012-03-27	7	7	0
Ein	2012-03-28	27	26	0
Ein	2012-03-29	3	2	0
Ein	2012-04-04	13	11	0
Ein	2013-03-06	14	12	0
Ein	2013-06-06	17	2	0
Ein	2013-06-11	31	5	0
Ein	2013-06-12	25	3	0
Ein	2013-06-13	13	7	0
Ein	2013-06-17	1	0	0
Ein	2013-06-18	5	3	0
Ein	2013-06-19	4	3	0
Ein	2013-06-21	3	1	0
Ein	2013-06-23	7	3	0
Ein	2013-06-24	1	1	0
Ein	2013-06-27	1	1	0
Ein	2015-01-07	28	18	0
EkiZ	2010-12-16	61	54	0
EkiZ	2010-12-17	152	143	0
EkiZ	2010-12-21	50	49	0
EkiZ	2010-12-23	50	42	0
EkiZ	2010-12-24	270	173	7
EkiZ	2010-12-25	44	23	0
EkiZ	2011-07-16	80	20	0
EkiZ	2011-09-03	1695	1148	0
EkiZ	2011-09-05	180	33	0
EkiZ	2011-09-06	2	0	0
EkiZ	2011-09-11	94	69	0
EkiZ	2011-10-16	85	57	0
EkiZ	2011-11-12	14	2	0
EkiZ	2011-11-13	3	3	0
EkiZ	2011-11-19	173	16	0
EkiZ	2011-11-27	301	75	0
EkiZ	2011-11-30	35	32	0
EkiZ	2011-12-03	934	866	0
EkiZ	2011-12-17	189	55	0
EkiZ	2011-12-23	31	24	0
EkiZ	2012-11-24	220	179	0
EkiZ	2012-12-01	56	37	0
EkiZ	2012-12-15	208	136	0
EkiZ	2013-02-01	255	60	0
EkiZ	2013-02-02	206	57	0
EkiZ	2013-12-11	1	0	0
EkiZ	2013-12-18	6	2	0
EkiZ	2014-12-10	2861	2691	0
EkiZ	2014-12-11	6999	6843	0
EkiZ	2014-12-12	158	158	0
EkiZ	2014-12-16	728	605	0
EkiZ	2014-12-17	1707	1630	0
EkiZ	2014-12-18	2365	2281	0
EkiZ	2014-12-19	2850	2693	0
EkiZ	2015-01-10	432	404	0
EkiZ	2015-01-17	3	3	0
EkiZ	2015-01-31	978	946	0
EkiZ	2015-02-16	179	63	0
EkiZ	2015-08-07	5	4	0
EkiZ	2015-12-10	11	1	0
El_Bocho	2013-06-30	7	7	0
El_Bocho	2014-10-28	3	2	0
Elcolorin123	2014-11-28	2	2	0
Elcolorin123	2014-12-01	1	1	0
Enrique Latorres	2010-07-25	325	190	0
Enrique Latorres	2010-07-26	45	30	0
Enrique Latorres	2010-08-23	111	37	0
Enrique Latorres	2010-08-28	23	22	0
Enrique Latorres	2013-01-21	34	34	0
Enrique Latorres	2013-03-18	5	4	0
Enrique Latorres	2013-03-19	24	20	0
Enrique Martinez	2015-07-07	1	0	0
Enzo Marrero	2011-12-09	6	5	0
Estudios del Discurso	2011-09-13	2	2	0
FABIOR	2009-08-19	5	0	0
Fabian Couto	2014-01-23	1	1	0
Fede Balbo	2012-12-12	1	1	0
Fede Balbo	2014-02-09	6	5	0
Federico Brunstein	2015-11-24	8	5	0
Federico Brunstein	2015-11-25	3	1	0
Federico Brunstein	2015-11-27	1	0	0
Federico Kereki	2013-10-18	8	5	0
Feippe	2013-11-28	107	62	0
FelipeO	2009-07-21	12	11	0
Felipedd	2013-12-27	9	8	0
Fernanda Toledo	2015-04-30	15	9	0
Fernando Reyes	2009-11-13	11	0	0
Fernando Álvarez Brito	2014-03-04	1	0	0
FlavioBen	2012-08-30	3	2	0
FlorinMateiu	2009-12-09	1	1	1
Flormazzuco	2014-06-29	14	8	0
Fmarta	2011-10-28	1	1	0
Fmarta	2011-10-30	3	0	0
Fmarta	2011-10-31	9	3	0
Fmarta	2011-11-01	5	2	0
Fmarta	2011-12-17	6	2	0
Fmarta	2011-12-18	2	0	0
Francisco Castro	2009-07-09	151	147	2
Francisco Castro	2009-07-10	606	592	1
Francisco Castro	2009-07-11	132	121	0
Francisco Castro	2009-07-12	187	184	0
Francisco Castro	2009-07-14	245	222	0
Francisco Castro	2009-07-16	102	101	0
Francisco Castro	2009-11-19	10	10	0
Francisco Castro	2010-04-12	122	121	0
Francisco Castro	2010-04-13	5	5	0
Francisco Castro	2010-06-04	236	225	0
Francisco Castro	2010-07-31	304	283	1
Francisco Castro	2010-08-22	117	105	1
Francisco Castro	2013-08-17	2	1	0
Franco64	2010-04-25	1	0	0
FvGordon	2015-01-05	11	9	0
GabiB	2011-02-24	16	6	0
Gabriel Fernandez	2015-03-22	2	2	0
Gagravarr	2007-03-18	1	1	1
Garufa	2012-02-20	13	13	0
Geogast	2008-08-13	14	14	5
Geogast	2009-09-18	2	1	0
Geogast	2010-05-12	5	5	0
Geogast	2010-09-09	2	0	0
Geogast	2010-12-09	6	6	3
Geogast	2011-09-30	1	0	0
Geogast	2012-01-09	2	1	0
Geogast	2012-01-13	66	63	0
Geogast	2012-01-14	12	11	0
Geogast	2013-04-24	86	82	0
Geogast	2013-04-29	1	0	0
Geogast	2013-06-03	2	1	0
Geogast	2013-10-15	75	69	0
Geogast	2014-01-07	1	0	0
Geogast	2014-05-18	1	0	0
Geogast	2014-06-06	2	0	0
Geogast	2015-12-29	1	0	0
Germán Brea	2012-05-05	2	0	0
Giorgio Baldelli	2015-03-20	12	12	0
Gosilva	2015-09-10	4	0	0
Gustavo Castro	2010-04-16	33	0	0
GustavoFischer	2013-12-09	1	1	0
Guzmán	2015-03-12	19	18	0
Guzmán	2015-03-16	6	2	0
HHCacher	2012-09-16	3	0	0
HHCacher	2012-09-17	2	0	0
HHCacher	2013-01-06	1	0	0
HHCacher	2014-03-01	1	0	0
Hadriana	2013-03-19	3	2	0
Hashing	2012-01-08	1	1	0
Hebenor	2013-07-19	3	0	0
Hegle Melgar	2015-12-09	65	62	0
Hegle Melgar	2015-12-10	22	21	0
Heperez	2015-11-09	4	0	0
Hernandomap	2014-11-26	6	0	0
Hernandomap	2014-11-27	115	33	1
Hernandomap	2015-11-19	8	8	1
Hotel Bahamas	2014-05-27	2	1	0
Hoverfish	2011-05-11	1833	1690	6
Hoverfish	2011-05-12	432	115	0
Hoverfish	2011-05-13	723	695	0
Hoverfish	2011-05-14	907	856	10
Hoverfish	2011-05-27	4	1	0
Hoverfish	2011-05-28	1	1	0
INGESUR SRL	2015-04-08	1	1	0
INGESUR SRL	2015-04-10	22	14	0
INGESUR SRL	2015-04-24	2	2	0
INGESUR SRL	2015-05-05	6	1	0
IlCalmo	2014-10-23	1	1	0
Ivan Coppes	2015-08-04	1	1	0
JScotto	2015-12-22	2	2	0
Jack Pham	2013-10-17	2	2	0
Jan van Bekkum	2016-01-05	2	2	0
Jano John Akim Franke	2013-02-10	1	0	0
Javazeta	2014-04-05	10	7	0
Jayson	2010-11-01	7	1	0
Jcalleja	2012-03-12	1	1	0
Jose Viajero	2013-11-04	11	2	0
Jose Viajero	2013-11-05	7	6	0
Jose Viajero	2013-11-09	76	54	0
Jose Viajero	2013-11-10	41	33	0
Jose Viajero	2013-11-11	2	0	0
Jose Viajero	2013-11-16	10	6	0
Jose Viajero	2013-11-24	69	35	0
Jose Viajero	2014-02-10	1	1	0
Josef73	2015-06-06	1	0	0
Joselo Arrizala	2012-10-13	10	9	0
Joselo Arrizala	2012-11-25	3	1	0
José Visca	2015-06-09	26	26	0
Juan de la Fuente	2014-04-11	2	2	0
Juanomarca	2014-10-13	2	0	0
KCupa	2014-09-19	1	0	0
Kafkarudo	2014-08-08	1	1	0
Kbra2015	2014-12-27	8	3	0
Kolossos	2012-10-20	1	0	0
LA IGUANA HARD Ltda	2013-10-23	9	1	0
LAKD	2012-11-30	1	0	0
LLAQWA	2013-02-01	7	7	0
Larifari77	2013-10-26	15	15	0
Larifari77	2014-01-28	1	1	0
Larifari77	2014-01-31	152	152	0
Larifari77	2014-02-12	2	2	0
Larifari77	2014-02-13	13	13	0
Larifari77	2014-02-18	14	14	0
Latze	2011-07-31	1414	1414	0
Leonardo Charrua	2012-06-07	2	0	0
Leonardo Charrua	2012-10-04	7	2	0
Leonardo Mendez	2012-07-17	5	0	0
Lu Pa	2013-11-11	1	1	0
Lu Pa	2014-12-23	1	1	0
Lu Pa	2015-04-07	1	1	0
MIDES - DINEM - Departamento de Geografía	2015-09-17	9	4	0
MIDES - DINEM - Departamento de Geografía	2015-09-18	39	38	0
MIDES - DINEM - Departamento de Geografía	2015-09-19	40	40	0
MIDES - DINEM - Departamento de Geografía	2015-09-21	25	16	0
MIDES - DINEM - Departamento de Geografía	2015-10-02	2	0	0
MIDES - DINEM - Departamento de Geografía	2015-10-22	168	153	0
MIDES - DINEM - Departamento de Geografía	2015-10-26	69	68	0
MIDES - DINEM - Departamento de Geografía	2015-11-04	1	0	0
