uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
172147	<0174	2016-01-01	39	1	38	0	39	1
21323	AE35	2012-08-01	19	20	15	0	20	20
80863	Alepoz	2010-11-01	157	147	122	1	134	131
80863	Alepoz	2010-12-01	0	0	0	0	23	16
80863	Alepoz	2011-06-01	1	1	0	0	1	1
597179	AlkalIn	2013-01-01	376	301	258	0	377	301
597179	AlkalIn	2013-02-01	5437	3497	3525	0	5438	3497
597179	AlkalIn	2013-03-01	2731	2250	2143	0	2732	2250
597179	AlkalIn	2013-04-01	597	328	368	0	597	328
597179	AlkalIn	2013-05-01	702	391	520	0	703	391
597179	AlkalIn	2013-06-01	1463	981	1344	1	1401	945
597179	AlkalIn	2013-07-01	961	569	789	0	1023	605
597179	AlkalIn	2013-08-01	642	285	599	0	642	285
597179	AlkalIn	2013-09-01	1019	801	951	0	1019	801
597179	AlkalIn	2013-10-01	245	93	227	0	246	93
597179	AlkalIn	2013-12-01	1	0	0	0	1	0
597179	AlkalIn	2014-01-01	24	13	22	0	24	13
597179	AlkalIn	2014-02-01	128	61	123	0	128	61
597179	AlkalIn	2014-03-01	153	50	128	0	153	50
597179	AlkalIn	2014-04-01	51	22	49	0	51	22
597179	AlkalIn	2014-05-01	39	3	17	0	39	3
597179	AlkalIn	2014-06-01	126	49	121	0	126	49
597179	AlkalIn	2014-07-01	42	19	40	0	42	19
597179	AlkalIn	2014-08-01	282	122	268	0	282	122
597179	AlkalIn	2014-10-01	8	0	8	0	9	0
597179	AlkalIn	2014-11-01	194	64	189	0	194	64
597179	AlkalIn	2014-12-01	17	7	14	0	17	7
597179	AlkalIn	2015-02-01	43	12	42	0	43	12
597179	AlkalIn	2015-03-01	98	44	97	0	98	44
2707030	Amr77	2015-02-01	29	22	22	0	30	22
2736869	Andre Bb	2015-04-01	28	23	23	0	28	23
651869	Aurimas Fišeras	2014-05-01	93	0	92	0	93	0
37109	Baruch	2009-06-01	0	0	0	0	1	0
3458580	Biloumaranettoi	2015-12-01	2	2	1	0	2	2
1722058	Brice TETKA	2013-08-01	1	1	0	0	1	1
595246	BrunoRemy	2015-05-01	21	4	20	0	21	4
1679807	Cato_d_Ae	2014-11-01	6	2	5	0	6	2
18069	Claudius Henrichs	2009-04-01	0	0	0	0	1	0
18069	Claudius Henrichs	2015-04-01	1	0	0	0	1	0
3043782	DK_VJCS	2015-07-01	0	0	0	0	1	0
13442	Damouns	2009-09-01	34	13	0	0	35	13
27577	Depsy	2015-06-01	5	5	4	0	5	5
2769873	Duclaire	2015-10-01	2	0	1	0	2	0
3289494	Duclaire15	2015-11-01	93	93	87	0	93	93
2976695	EGK	2015-06-01	13	9	11	0	13	9
3419832	ETOUNA	2015-11-01	4	4	3	0	4	4
2811804	Ebolowa	2015-04-01	8	8	7	0	8	8
331593	Ernest Gwanvoma	2010-12-01	111	108	90	3	111	108
331593	Ernest Gwanvoma	2011-01-01	3	0	2	0	4	0
2315574	FANIVE	2016-01-01	678	652	677	0	678	652
2504320	Fayadama	2014-12-01	1	0	0	0	2	0
1716677	FischerFotos	2013-08-01	2	1	1	0	2	1
1716677	FischerFotos	2013-09-01	4	2	2	0	4	2
503712	Frank Gyselinck	2011-10-01	30	18	17	0	30	18
2018464	Freedy Tchoumbou	2015-10-01	169	97	167	0	169	97
161619	FvGordon	2015-02-01	25	1	24	0	25	1
161619	FvGordon	2015-03-01	1	0	0	0	1	0
161619	FvGordon	2015-06-01	1	1	0	0	1	1
161619	FvGordon	2015-10-01	29	0	28	0	29	0
1366199	GeoCameroun	2013-04-01	20837	18518	20325	0	20837	18518
1366199	GeoCameroun	2013-05-01	859905	854909	848815	1	857412	852483
1366199	GeoCameroun	2013-06-01	5822	3464	4865	0	8316	5890
1366199	GeoCameroun	2013-07-01	2377	2099	2249	0	2378	2099
1366199	GeoCameroun	2013-09-01	169	93	166	0	170	93
1366199	GeoCameroun	2013-10-01	3	0	2	0	4	0
1366199	GeoCameroun	2013-11-01	298	75	265	0	298	75
1366199	GeoCameroun	2013-12-01	8	3	7	0	8	3
1366199	GeoCameroun	2014-01-01	201	13	198	0	201	13
1366199	GeoCameroun	2014-02-01	2	0	0	0	2	0
1366199	GeoCameroun	2014-04-01	1353	1349	1352	0	1353	1349
1366199	GeoCameroun	2014-05-01	316	296	315	0	316	296
1366199	GeoCameroun	2014-06-01	6	4	5	0	6	4
1366199	GeoCameroun	2014-07-01	773	732	771	0	774	732
2604353	GeoStudent	2015-02-01	5	1	4	0	5	1
2040121	Georges N	2014-04-01	3	2	2	0	3	2
1269691	Gilbert_Armand_OSM-CM	2013-09-01	1	1	0	0	1	1
1269691	Gilbert_Armand_OSM-CM	2015-02-01	20	20	19	0	20	20
459945	Greg Henderson	2011-08-01	1	1	0	1	1	1
86289	Gustry	2013-04-01	1467	1309	1379	0	1467	1309
86289	Gustry	2013-05-01	3	0	2	0	3	0
86289	Gustry	2013-06-01	1	0	0	0	1	0
86289	Gustry	2013-07-01	1	0	0	0	1	0
86289	Gustry	2013-08-01	131	36	129	0	131	36
86289	Gustry	2013-09-01	1	0	0	0	1	0
657581	Hendrikklaas	2015-01-01	6	2	4	0	6	2
657581	Hendrikklaas	2015-11-01	61	6	59	0	61	6
2962360	Herves2005	2015-12-01	34	30	33	0	34	30
106914	Hobgoblin	2014-09-01	38	0	37	0	38	0
106914	Hobgoblin	2015-02-01	2	0	1	0	2	0
106914	Hobgoblin	2015-08-01	10	10	9	0	10	10
67862	HolgerJeromin	2010-12-01	1	0	0	0	2	0
67862	HolgerJeromin	2011-01-01	273	212	67	0	274	212
67862	HolgerJeromin	2012-01-01	19	15	5	0	19	15
67862	HolgerJeromin	2012-11-01	0	0	0	0	1	0
188930	J-Louis ZIMMERMANN	2013-08-01	78	78	74	0	78	78
662440	JFK73	2015-10-01	11	6	10	0	11	6
3091009	J_Acker	2015-09-01	373	332	372	1	373	332
1758931	Jack Pham	2013-10-01	2	2	1	0	2	2
378610	Jorieke V	2013-04-01	316	67	227	0	316	67
378610	Jorieke V	2013-05-01	3368	266	3342	0	3368	266
378610	Jorieke V	2013-07-01	70	50	58	0	70	50
378610	Jorieke V	2013-10-01	10615	941	10382	0	10615	941
378610	Jorieke V	2013-11-01	410	151	409	0	410	151
2429526	José Meku	2014-10-01	3	3	1	0	3	3
768145	Jotam	2015-06-01	1	0	0	0	2	0
768145	Jotam	2015-07-01	94	1	92	0	94	1
768145	Jotam	2015-08-01	1	0	0	0	1	0
1842847	KDRT	2014-04-01	1954	1069	1929	0	1954	1069
1842847	KDRT	2014-05-01	2628	519	2609	0	2628	519
1842847	KDRT	2014-06-01	2139	490	2127	0	2139	490
57645	KartoGrapHiti	2012-10-01	32	0	31	0	32	0
491476	Katie U	2015-04-01	2	0	1	0	2	0
2224	Kolossos	2012-10-01	0	0	0	0	1	0
229	LA2	2007-04-01	0	1	0	1	1	1
340336	Langhuber	2012-04-01	22	10	12	0	23	10
1694420	Little Brother	2014-10-01	39	1	38	0	39	1
1694420	Little Brother	2014-12-01	0	0	0	0	1	0
267599	Luis Bahiana	2014-01-01	1	1	0	0	1	1
1829683	Luis36995	2014-07-01	43	6	42	0	43	6
1829683	Luis36995	2014-08-01	1	0	0	0	1	0
76822	Lupercos	2015-08-01	40	0	39	0	40	0
181135	Manu1400	2013-04-01	4	0	0	0	5	0
181135	Manu1400	2013-05-01	9	0	6	0	9	0
181135	Manu1400	2014-12-01	1	0	0	0	1	0
39457	Markus59	2014-06-01	1	0	0	0	1	0
53964	Mathieu Marquer	2012-04-01	0	0	0	0	1	0
53964	Mathieu Marquer	2012-05-01	1	0	0	0	1	0
308	MichaelCollinson	2008-11-01	1	0	0	0	1	0
2110786	Mr UMM	2014-06-01	16	16	15	0	16	16
2110786	Mr UMM	2016-01-01	558	558	548	0	558	558
170038	Nanopixel	2012-08-01	0	0	0	0	1	0
32786	Netzwolf	2013-01-01	0	0	0	0	1	0
51324	OPerivar	2014-12-01	35	19	33	0	35	19
722137	OSMF Redaction Account	2012-07-01	0	0	0	0	1	0
3209579	Patelechat	2015-09-01	3	3	2	0	3	3
13832	Peter14	2013-12-01	15	0	14	0	15	0
13832	Peter14	2014-01-01	71	1	65	0	71	1
13832	Peter14	2014-02-01	10	0	9	0	10	0
13832	Peter14	2014-03-01	40	2	37	0	40	2
13832	Peter14	2014-04-01	1	0	0	0	1	0
13832	Peter14	2014-05-01	50	1	49	0	50	1
13832	Peter14	2014-06-01	1	1	0	0	1	1
74861	Pierre TOUZARD	2012-06-01	64	6	57	0	64	6
74861	Pierre TOUZARD	2012-10-01	4037	271	3538	0	4038	271
74861	Pierre TOUZARD	2012-11-01	1808	787	1218	0	1808	787
74861	Pierre TOUZARD	2013-02-01	3619	2384	3081	0	3619	2384
74861	Pierre TOUZARD	2013-03-01	226	115	213	0	227	115
28269	Pierre-Alain Dorange	2014-06-01	4	0	3	0	4	0
1850199	Pilou@nowhere	2015-11-01	17	17	16	0	17	17
1850199	Pilou@nowhere	2016-01-01	3	1	1	0	3	1
1999311	R GUILBERT	2014-03-01	1	1	0	0	1	1
1783785	R0bst3r	2015-05-01	24	2	23	0	24	2
453695	RR81	2012-07-01	1	0	0	0	1	0
2219338	RichRico	2014-10-01	3	0	2	0	3	0
2219338	RichRico	2015-04-01	3	3	2	0	3	3
1723943	Ro in cameroon	2013-08-01	1	0	0	0	1	0
1828366	Romuald71_import	2014-06-01	3	1	2	0	3	1
510836	Rub21	2014-07-01	2	1	1	0	2	1
302972	SOGEFI	2013-04-01	22712	20262	22081	0	22712	20262
302972	SOGEFI	2013-05-01	18034	12365	17446	0	18034	12365
302972	SOGEFI	2013-06-01	652	595	592	0	652	595
302972	SOGEFI	2013-08-01	2	2	1	0	2	2
302972	SOGEFI	2013-09-01	4926	914	4662	0	4926	914
302972	SOGEFI	2013-10-01	330	70	307	0	330	70
302972	SOGEFI	2013-11-01	15	0	14	0	15	0
302972	SOGEFI	2013-12-01	543	199	517	0	544	199
302972	SOGEFI	2014-01-01	1	0	0	0	1	0
302972	SOGEFI	2014-03-01	195	85	189	0	195	85
302972	SOGEFI	2014-04-01	9321	2627	9099	0	9322	2627
302972	SOGEFI	2014-06-01	9	7	8	0	9	7
302972	SOGEFI	2014-07-01	7	7	6	0	7	7
302972	SOGEFI	2014-08-01	221	131	216	0	221	131
302972	SOGEFI	2014-10-01	1	1	0	0	1	1
302972	SOGEFI	2014-11-01	12	7	11	0	12	7
302972	SOGEFI	2015-04-01	96	20	83	0	96	20
1985829	Sergeo14	2014-03-01	8	6	7	0	8	6
64578	Serpens	2009-08-01	0	0	0	0	1	0
64578	Serpens	2009-09-01	1	0	0	0	2	0
64578	Serpens	2009-11-01	0	0	0	0	1	0
64578	Serpens	2010-01-01	3	0	2	0	4	0
64578	Serpens	2011-02-01	0	0	0	0	1	0
64578	Serpens	2015-01-01	1	0	1	0	2	0
64578	Serpens	2015-02-01	2	0	0	0	2	0
64578	Serpens	2015-06-01	1	0	0	0	1	0
709289	Super-Map	2015-02-01	83	72	82	0	83	72
2179992	Sébastien_TSF	2014-07-01	19914	19461	19524	0	19914	19461
2141461	TSF Cameroun	2014-07-01	2064	1796	2063	0	2064	1796
2179993	TSF Fabien	2014-07-01	21594	21561	21330	0	21595	21561
2179993	TSF Fabien	2015-05-01	3609	3554	3608	0	3609	3554
86150	Tahbou	2014-07-01	1777	1625	1677	0	1777	1625
12267	Thomas_M	2014-06-01	10	10	8	0	10	10
12267	Thomas_M	2014-08-01	4	4	3	0	4	4
12267	Thomas_M	2015-08-01	0	1	0	0	1	1
12267	Thomas_M	2015-09-01	0	0	0	0	1	0
12267	Thomas_M	2015-10-01	1	0	0	0	1	0
996997	TomHynes	2015-01-01	74	2	73	0	74	2
338843	TorCguy	2015-09-01	4	0	3	0	4	0
652961	Trezheur	2014-11-01	15	0	14	0	15	0
845913	UJung	2012-09-01	0	1	0	0	1	1
103574	Unusual User Name	2014-07-01	1	1	0	0	1	1
78656	Walter Schlögl	2015-09-01	1	0	0	0	1	0
2968300	YOUBI HERVE	2015-07-01	111	111	110	0	111	111
2415454	Yetna	2015-01-01	13	13	12	0	13	13
2069644	Youmsi	2014-05-01	7	4	5	0	7	4
1452475	aOne	2013-05-01	3	4	3	0	4	4
2377377	abel801	2015-07-01	4	0	3	0	4	0
2377377	abel801	2015-09-01	2	0	1	0	2	0
25867	adamos	2014-09-01	1	0	0	0	1	0
92274	adjuva	2014-03-01	2	0	0	0	2	0
22108	afonin	2009-09-01	0	0	0	0	1	0
2334852	afranck64	2014-09-01	3	3	2	0	3	3
1707226	alan25	2013-08-01	3	3	1	0	3	3
2640052	alromain	2015-03-01	0	0	0	0	1	0
28145	amillar	2009-06-01	0	1	0	1	1	1
58440	andbox	2014-12-01	27	1	26	0	27	1
2866788	anders2045	2015-04-01	3	3	1	0	3	3
163973	badpap	2015-01-01	8	2	7	0	8	2
1991890	bernard didier	2014-03-01	1	1	0	0	1	1
2772239	bertrandtogue	2015-03-01	5	4	4	0	5	4
2010493	bhaller	2014-12-01	4	0	3	0	4	0
481116	bigalxyz123	2013-12-01	67	64	65	0	67	64
1691870	bissoni	2013-07-01	3	0	1	0	4	0
870861	botdidier2020	2012-12-01	65	0	63	0	65	0
870861	botdidier2020	2013-01-01	126	0	123	0	126	0
870861	botdidier2020	2014-07-01	2	0	1	0	2	0
706714	bullmap	2015-02-01	4	0	3	0	4	0
124550	bvivi	2014-09-01	2	1	1	0	2	1
124550	bvivi	2014-12-01	2	0	1	0	2	0
124550	bvivi	2015-05-01	1	0	0	0	1	0
124550	bvivi	2015-07-01	1	0	0	0	1	0
124550	bvivi	2015-08-01	3	3	2	0	3	3
152289	cgu66	2011-01-01	2	0	0	0	2	0
152289	cgu66	2013-01-01	1	0	0	0	1	0
2406578	colindt	2014-12-01	1	0	0	0	1	0
2226712	dannykath	2014-08-01	1	0	0	0	1	0
2226712	dannykath	2014-11-01	12	3	11	0	12	3
44221	dcp	2013-01-01	2	1	1	0	2	1
44221	dcp	2014-12-01	2	0	1	0	2	0
330718	dfellow	2014-08-01	5	0	4	0	5	0
300459	didier2020	2013-08-01	266	0	265	0	266	0
300459	didier2020	2015-10-01	2	0	1	0	2	0
437598	dmgroom_ct	2012-12-01	459	4	449	0	460	4
437598	dmgroom_ct	2013-01-01	4820	30	4695	0	4821	30
2518678	donald237	2014-12-01	0	0	0	0	1	0
1240849	ediyes	2015-09-01	1	1	0	0	1	1
1737020	elvisplatini	2013-09-01	1	1	0	0	1	1
250214	emilde	2014-09-01	4	2	3	0	4	2
436365	escada	2014-12-01	9	0	8	0	9	0
663559	geochrome	2015-01-01	5	0	4	0	5	0
435248	geologist	2015-11-01	13	3	12	0	13	3
293664	glasserc	2011-01-01	1	1	0	0	1	1
1879543	glibbertorsten	2015-05-01	16	2	15	0	16	2
1879543	glibbertorsten	2015-09-01	29	0	28	0	29	0
103253	gormur	2012-06-01	0	0	0	0	1	0
103253	gormur	2012-07-01	1	0	0	0	1	0
110450	gosausee	2015-04-01	2	0	1	0	2	0
1057876	hansemann1234	2014-08-01	107	1	106	0	107	1
2249513	hebolz	2015-01-01	8	0	7	0	8	0
