uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
2304250	ALEBI89	2014-09-01	1	1	0	0	1	1
332952	AV4TAr	2013-05-01	4	4	3	0	4	4
331218	AgusQui	2014-02-01	326	186	301	0	326	186
331218	AgusQui	2014-03-01	1103	780	1074	0	1103	780
1586170	AgustinGonzalez	2013-07-01	3	3	2	0	3	3
445843	Airwolfless	2011-06-01	0	0	0	0	8	8
445843	Airwolfless	2011-07-01	8	8	6	0	0	0
464580	Alberto Damiano	2011-06-01	24	24	23	0	24	24
614090	Aldo Coll	2012-03-01	2	1	1	0	2	1
1289157	AleFK	2013-03-01	1	1	0	0	1	1
334487	Aleb89	2010-08-01	3	2	2	0	3	2
416106	Alejandro Adrien	2011-03-01	5	0	1	0	5	0
243239	Alejandro Revilla	2010-03-01	7	4	5	0	7	4
1708751	Alerod	2013-08-01	2	2	1	0	2	2
1235041	Alexdla	2014-03-01	2	2	1	0	2	2
256337	AlfredoGMx	2012-02-01	13	10	9	0	14	10
679010	Alpargator	2012-05-01	3	0	1	0	3	0
556511	Alvaro Rivoir	2011-11-01	22	21	14	0	22	21
556511	Alvaro Rivoir	2014-03-01	2	1	1	0	2	1
1016290	Amaroussi	2014-08-01	0	0	0	0	1	0
545873	Amasso	2011-10-01	0	0	0	0	1	0
1869781	AndiG88	2014-08-01	1	0	0	0	1	0
31231	Andre68	2014-07-01	4	0	3	0	4	0
313861	Andres Alcarraz	2011-12-01	0	0	0	0	1	0
313861	Andres Alcarraz	2012-08-01	1	2	1	0	2	2
284219	Antonieta	2013-06-01	9	8	6	0	9	8
591069	Bart Calixto	2013-05-01	3	0	0	0	3	0
37109	Baruch	2009-06-01	0	0	0	0	1	0
72235	Basstoelpel	2013-10-01	9	4	7	0	9	4
2060588	Bitcoin Uruguay	2014-05-01	2	2	1	0	2	2
416346	Brian@Brea	2014-01-01	2	0	0	0	2	0
338345	BrunoX	2010-08-01	6	6	5	0	6	6
338345	BrunoX	2011-03-01	1	1	0	0	1	1
338345	BrunoX	2012-10-01	3	1	2	0	3	1
338345	BrunoX	2014-01-01	23	16	22	0	23	16
1960024	BuganiniQ	2014-05-01	2	0	2	0	3	0
505667	Bullroarer	2012-08-01	55	55	54	0	55	55
2026866	CAROLINAERRA	2014-04-01	2	2	1	0	2	2
518623	Cacha21	2011-09-01	54	29	15	0	55	29
941602	CarlosCal	2012-10-01	1	2	1	0	2	2
426855	CesarsanCL	2012-06-01	1	1	0	0	1	1
609753	Chad Lawlis	2012-02-01	0	0	0	0	1	0
1593307	Charrua155	2013-06-01	5	4	3	0	5	4
586389	D!zzy	2012-12-01	0	0	0	0	1	0
1566976	Daniel75	2013-06-01	22	22	21	0	22	22
305443	DanielLobo	2010-06-01	0	1	0	0	1	1
305443	DanielLobo	2010-07-01	211	200	189	2	211	200
305443	DanielLobo	2010-09-01	347	234	181	2	347	234
1242446	Datalogic	2013-02-01	12	12	11	0	12	12
537110	Dberruti	2011-10-01	1	1	0	0	1	1
1631717	Diego Ocampo	2013-07-01	0	1	0	0	1	1
591694	DonHM	2012-01-01	1	1	0	0	1	1
362391	DrSeuthberg	2012-08-01	0	0	0	0	1	0
220415	Ein	2010-01-01	7	5	1	0	8	5
220415	Ein	2010-03-01	20	3	14	0	20	3
220415	Ein	2011-08-01	0	1	0	0	1	1
220415	Ein	2011-09-01	0	1	0	0	1	1
220415	Ein	2012-03-01	91	82	73	0	92	82
220415	Ein	2012-04-01	12	11	10	0	13	11
220415	Ein	2013-03-01	13	12	0	0	14	12
220415	Ein	2013-06-01	108	29	38	0	108	29
220415	Ein	2015-01-01	28	18	23	0	28	18
384351	EkiZ	2010-12-01	626	484	428	5	627	484
384351	EkiZ	2011-07-01	80	20	77	0	80	20
384351	EkiZ	2011-09-01	1970	1250	1503	0	1971	1250
384351	EkiZ	2011-10-01	84	57	7	0	85	57
384351	EkiZ	2011-11-01	491	96	405	0	526	128
384351	EkiZ	2011-12-01	1187	977	1091	0	1154	945
384351	EkiZ	2012-11-01	219	179	123	0	220	179
384351	EkiZ	2012-12-01	264	173	163	0	264	173
384351	EkiZ	2013-02-01	461	117	294	0	461	117
384351	EkiZ	2013-12-01	7	2	6	0	7	2
384351	EkiZ	2014-12-01	17667	16901	17322	0	17668	16901
384351	EkiZ	2015-01-01	435	407	432	0	435	407
1587686	El_Bocho	2013-06-01	7	7	6	0	7	7
1587686	El_Bocho	2014-10-01	3	2	2	0	3	2
2491419	Elcolorin123	2014-11-01	2	2	1	0	2	2
2491419	Elcolorin123	2014-12-01	1	1	0	0	1	1
238918	Enrique Latorres	2010-07-01	370	220	198	0	370	220
238918	Enrique Latorres	2010-08-01	134	59	109	0	134	59
238918	Enrique Latorres	2013-01-01	33	34	2	0	34	34
238918	Enrique Latorres	2013-03-01	29	24	28	0	29	24
489001	Enzo Marrero	2011-12-01	6	5	3	0	6	5
521407	Estudios del Discurso	2011-09-01	2	2	1	0	2	2
160294	FABIOR	2009-08-01	5	0	4	0	5	0
1837216	Fabian Couto	2014-01-01	0	1	0	0	1	1
1132160	Fede Balbo	2012-12-01	1	1	0	0	1	1
1132160	Fede Balbo	2014-02-01	6	5	5	0	6	5
1779070	Federico Kereki	2013-10-01	8	5	7	0	8	5
595092	Feippe	2013-11-01	106	62	48	0	107	62
147789	FelipeO	2009-07-01	11	11	11	0	12	11
1856765	Felipedd	2013-12-01	8	8	2	0	9	8
196672	Fernando Reyes	2009-11-01	11	0	10	0	11	0
1968445	Fernando Álvarez Brito	2014-03-01	0	0	0	0	1	0
845407	FlavioBen	2012-08-01	2	2	1	0	3	2
190196	FlorinMateiu	2009-12-01	1	1	0	1	1	1
2153861	Flormazzuco	2014-06-01	13	8	9	0	14	8
544773	Fmarta	2011-10-01	13	4	7	0	13	4
544773	Fmarta	2011-11-01	4	2	1	0	5	2
544773	Fmarta	2011-12-01	8	2	4	0	8	2
143865	Francisco Castro	2009-07-01	1423	1367	1314	5	1423	1367
143865	Francisco Castro	2009-11-01	9	10	4	0	10	10
143865	Francisco Castro	2010-04-01	127	126	109	2	127	126
143865	Francisco Castro	2010-06-01	236	225	205	0	236	225
143865	Francisco Castro	2010-07-01	304	283	256	3	304	283
143865	Francisco Castro	2010-08-01	117	105	114	0	117	105
143865	Francisco Castro	2013-08-01	1	1	0	0	2	1
275425	Franco64	2010-04-01	1	0	0	0	1	0
161619	FvGordon	2015-01-01	11	9	10	0	11	9
413557	GabiB	2011-02-01	15	6	7	0	16	6
1399	Gagravarr	2007-03-01	0	1	0	1	1	1
608037	Garufa	2012-02-01	13	13	7	0	13	13
51045	Geogast	2008-08-01	14	14	5	3	14	14
51045	Geogast	2009-09-01	1	1	1	0	2	1
51045	Geogast	2010-05-01	5	5	4	0	5	5
51045	Geogast	2010-09-01	1	0	0	0	2	0
51045	Geogast	2010-12-01	5	6	2	2	6	6
51045	Geogast	2011-09-01	0	0	0	0	1	0
51045	Geogast	2012-01-01	79	75	72	0	80	75
51045	Geogast	2013-04-01	87	82	86	0	87	82
51045	Geogast	2013-06-01	1	1	1	0	2	1
51045	Geogast	2013-10-01	75	69	74	0	75	69
51045	Geogast	2014-01-01	1	0	0	0	1	0
51045	Geogast	2014-05-01	1	0	0	0	1	0
51045	Geogast	2014-06-01	1	0	1	0	2	0
675119	Germán Brea	2012-05-01	1	0	0	0	2	0
267563	Gustavo Castro	2010-04-01	33	0	30	0	33	0
1835829	GustavoFischer	2013-12-01	0	1	0	0	1	1
190389	HHCacher	2012-09-01	5	0	1	0	5	0
190389	HHCacher	2013-01-01	1	0	0	0	1	0
190389	HHCacher	2014-03-01	1	0	0	0	1	0
1284557	Hadriana	2013-03-01	2	2	2	0	3	2
582025	Hashing	2012-01-01	1	1	0	0	1	1
1661424	Hebenor	2013-07-01	3	0	2	0	3	0
1866562	Hernandomap	2014-11-01	121	33	101	1	121	33
2094961	Hotel Bahamas	2014-05-01	1	1	0	0	2	1
379675	Hoverfish	2011-05-01	3899	3358	2814	14	3900	3358
2420319	IlCalmo	2014-10-01	1	1	0	0	1	1
1758931	Jack Pham	2013-10-01	2	2	1	0	2	2
42191	Jano John Akim Franke	2013-02-01	0	0	0	0	1	0
2017396	Javazeta	2014-04-01	9	7	7	0	10	7
365548	Jayson	2010-11-01	6	1	0	0	7	1
626646	Jcalleja	2012-03-01	1	1	0	0	1	1
1794485	Jose Viajero	2013-11-01	215	136	144	0	216	136
1794485	Jose Viajero	2014-02-01	0	1	0	0	1	1
974843	Joselo Arrizala	2012-10-01	9	9	8	0	10	9
974843	Joselo Arrizala	2012-11-01	3	1	2	0	3	1
2028346	Juan de la Fuente	2014-04-01	2	2	1	0	2	2
2398077	Juanomarca	2014-10-01	2	0	1	0	2	0
2347873	KCupa	2014-09-01	0	0	0	0	1	0
2245974	Kafkarudo	2014-08-01	0	1	0	0	1	1
2540255	Kbra2015	2014-12-01	7	3	3	0	8	3
2224	Kolossos	2012-10-01	0	0	0	0	1	0
1783794	LA IGUANA HARD Ltda	2013-10-01	8	1	1	0	9	1
1099966	LAKD	2012-11-01	0	0	0	0	1	0
77114	LLAQWA	2013-02-01	7	7	6	0	7	7
423330	Larifari77	2013-10-01	15	15	14	0	15	15
423330	Larifari77	2014-01-01	153	153	151	0	153	153
423330	Larifari77	2014-02-01	29	29	24	0	29	29
2318	Latze	2011-07-01	1414	1414	1413	0	1414	1414
698405	Leonardo Charrua	2012-06-01	2	0	1	0	2	0
698405	Leonardo Charrua	2012-10-01	6	2	3	0	7	2
740615	Leonardo Mendez	2012-07-01	4	0	4	0	5	0
277734	Lu Pa	2013-11-01	1	1	0	0	1	1
277734	Lu Pa	2014-12-01	0	1	0	0	1	1
181135	Manu1400	2013-05-01	1	0	0	0	1	0
85796	Marcel Renaud	2008-12-01	1	0	0	0	2	0
85796	Marcel Renaud	2009-04-01	123	0	36	0	124	0
457270	Martaba07	2014-03-01	11	0	9	0	11	0
481667	Martin Leibner	2011-07-01	1	1	0	0	1	1
1308159	MartinPil	2013-03-01	2	1	1	0	3	1
1364378	MartinRdz	2013-04-01	2	0	0	0	3	0
1364378	MartinRdz	2013-05-01	7	4	4	0	8	4
793239	Mati_555	2012-08-01	15	5	13	0	15	5
242901	Matungos	2010-03-01	0	1	0	0	1	1
242901	Matungos	2011-11-01	0	0	0	0	1	0
250000	Mauricio Campiglia	2010-03-01	45	29	18	3	46	29
250000	Mauricio Campiglia	2010-10-01	2	3	1	0	3	3
250000	Mauricio Campiglia	2011-01-01	4	3	1	0	4	3
250000	Mauricio Campiglia	2011-03-01	401	320	292	5	402	320
250000	Mauricio Campiglia	2011-04-01	364	298	322	4	364	298
250000	Mauricio Campiglia	2014-01-01	29	27	26	0	30	27
55730	MaxM	2010-09-01	107652	107579	101530	90	107652	107579
55730	MaxM	2010-10-01	221008	221009	0	3	221009	221009
88164	Med	2014-09-01	7	0	7	0	8	0
308	MichaelCollinson	2008-11-01	2	1	0	0	3	1
308	MichaelCollinson	2014-01-01	184	183	183	0	184	183
1768088	Moneero SA	2013-10-01	2	2	0	0	2	2
2089513	MotoExpress	2014-06-01	7	7	7	0	8	7
129868	Natonata	2009-05-01	1	0	0	0	2	0
129868	Natonata	2009-06-01	9	3	4	0	9	3
129868	Natonata	2009-07-01	452	418	412	3	452	418
129868	Natonata	2009-08-01	364	350	261	31	365	350
1873953	Nestor Masci	2014-01-01	26	15	13	0	27	15
1873953	Nestor Masci	2014-11-01	1	0	0	0	1	0
1762622	Nik1	2013-10-01	14	8	9	0	14	8
51324	OPerivar	2011-11-01	394	256	203	0	394	256
51324	OPerivar	2011-12-01	962	834	924	0	962	834
51324	OPerivar	2012-04-01	284	157	218	0	284	157
722137	OSMF Redaction Account	2012-07-01	81	0	44	0	82	0
385027	Ori952	2013-03-01	708	449	657	0	708	449
2224606	Osgarlud	2014-07-01	2	1	0	0	3	1
45027	PA94	2009-07-01	2	0	0	0	3	0
2295877	PMAZ	2014-08-01	6	7	4	0	7	7
2325810	Pablo Laguna	2014-09-01	10	5	5	0	11	5
232733	PabloRubianes	2010-02-01	13	11	5	0	14	11
232733	PabloRubianes	2010-08-01	3	3	2	0	3	3
404160	Pachorro	2014-03-01	1	1	0	0	1	1
